,Unnamed: 0,source,text,type,category,label,English,text_size,subject,contains_name
0,35, Rareș Bogdan,„Am câştigat cele mai mari judeţe din România.”, DECLARAȚII Electoral,Adevărat,0,"""We won the largest counties in Romania."" ",small,Politica,no
1,694, Liviu Dragnea,"FMI tot timpul, oriunde a fost în lume, în orice ţară din lume, a fost mai circumspect şi a fost mai pesimist, pentru că asta este abordarea lor.", DECLARAȚII Economie,Adevărat,0,"The IMF all the time, wherever it was in the world, in any country in the world, was more circumspect and more pessimistic, because that is their approach. ",small,Economie,yes
2,655, Ilan Laufer,"Există o relație specială între România și Turcia, o relație economică foarte puternică. Turcia este principalul nostru partener în afara zonei comunitare, ceea ce înseamnă că există un potențial foarte mare între cele două țări. [...] Turcia se află între primele 20 de poziții în privința investițiilor directe și indirecte în România.", DECLARAȚII Externe,Adevărat,0,"There is a special relationship between Romania and Turkey, a very strong economic relationship. Turkey is our main partner outside the EU area, which means that there is a lot of potential between the two countries. [...] Turkey is among the top 20 positions in terms of direct and indirect investments in Romania. ",big,Externe,no
3,547, Nicu Fălcoi,"Chiar nu e nevoie neapărat să se înființeze o noua comisie. Comisiile de Apărare din cele două camere au în atribuțiile lor supravegherea instituțiilor de forță ale statului. În Comisia de Apărare din Senat vom încerca din nou să-i aducem pe cei trei protagoniști din 10 august: ministrul, prefectul și comandantul dispozitivului.", DECLARAȚII Politica,Adevărat,0,"There really is no need to set up a new commission. The Defense Commissions of the two chambers have in their attributions the supervision of the state law enforcement institutions. In the Senate Defense Committee we will try again to bring the three protagonists from August 10: the minister, the prefect and the commander of the device. ",big,Politica,yes
4,895, Victor Ponta,"„N-am mărit niciun preţ la gaze, pur şi simplu se importă mai multe gaze din Rusia”", DECLARAȚII Energie,Adevărat,0,"""We have not increased any price for gas, more gas is simply imported from Russia"" ",small,Economie,yes
5,428, Brigitte Clotilde Armand,"„În țară a înființat prin OUG împreună cu Tudorel Toader secția de investigare a magistraților pentru a obține dosarul Tel Drum SA de la DNA. Și ce să vezi? În plină campanie electorală, Tel Drum SA mai primește un contract de 13 milioane de lei de la CJ Teleorman.”", DECLARAȚII Transport,Adevărat,0,"""In the country, through the GEO, together with Tudorel Toader, he set up the magistrates' investigation department in order to obtain the Tel Drum SA file from DNA. And what to see? In the middle of the election campaign, Tel Drum SA also receives a contract of 13 million lei from the Teleorman County Council. ” ",big,Economie,yes
6,170, Marcel Vela,"„Am făcut o comparație cu anii 2019, 2018, 2017 și 2016, așadar ultimii patru ani. În 2020 au fost cele mai puține infracțiuni la nivel național și cele mai puține infracțiuni cu violență.”", DECLARAȚII Justitie,Adevărat,0,"""We made a comparison with the years 2019, 2018, 2017 and 2016, so the last four years. In 2020, there were the fewest crimes at the national level and the fewest violent crimes. "" ",small,Justitie,no
7,347, Răzvan Ilie Rotaru,"„Prin Start-up Nation, s-au înfiinţat peste 17.000 de firme în ultimii doi ani, fapt care înseamnă cel puţin 35.000 de noi locuri de muncă.”", DECLARAȚII Munca,Adevărat,0,"""Through Start-up Nation, more than 17,000 companies have been established in the last two years, which means at least 35,000 new jobs."" ",small,Social,yes
8,167, Nicușor Dan,"„Există o lege foarte bună dată în România, în anul 2007, tot așa sub presiunea UE, care spune că nu ai voie să construiești pe spațiul verde. Acolo, așa cum am spus, Planul Urbanistic al Bucureștiului, făcut în 2000, spune că pe malul apei, pe malul lacurilor din zona de nord, 50 de metri de la mal e spațiu verde. Nu ai voie să construiești”.", DECLARAȚII Mediu,Adevărat,0,"""There is a very good law given in Romania, in 2007, also under EU pressure, which says that you are not allowed to build on green space. There, as I said, the Urban Plan of Bucharest, made in 2000, says that on the waterfront, on the shores of lakes in the north, 50 meters from the shore is green space. You are not allowed to build ”. ",big,SanatateMediu,yes
9,497, Mihai Fifor,  „Secția pentru magistraţi a fost scoasă de sub DNA cu acordul CSM.”    , DECLARAȚII Justitie,Adevărat,0,"""The section for magistrates was removed from the DNA with the consent of the SCM."" ",small,Justitie,yes
